visit_id,customer_id,date,weekday,is_weekend,arrival_hour,is_buzz_hour,party_size,duration_min,is_repeat,n_items,n_food,n_drink,food_revenue,drink_revenue,total_revenue,total_profit,drink_ratio,spend_per_head
V000035,C01007,2026-02-04,2,0,19,0,5,81,0,7,6,1,2240.0,340.0,2580.0,1256.8,0.1318,516.0
V000036,C00065,2026-02-04,2,0,21,1,3,62,1,10,3,7,1040.0,2300.0,3340.0,2111.4,0.6886,1113.3
V000037,C00525,2026-02-04,2,0,22,1,2,106,0,2,2,0,760.0,0.0,760.0,388.0,0.0,380.0
V000038,C01341,2026-02-05,3,0,24,1,2,100,0,6,4,2,1520.0,560.0,2080.0,1100.8,0.2692,1040.0
V000039,C01081,2026-02-05,3,0,19,0,3,60,0,10,8,2,3100.0,660.0,3760.0,2072.8,0.1755,1253.3
V000040,C00485,2026-02-05,3,0,23,1,4,91,0,15,9,6,2360.0,1740.0,4100.0,2560.4,0.4244,1025.0
V000041,C00677,2026-02-05,3,0,20,0,2,86,0,4,3,1,960.0,350.0,1310.0,810.8,0.2672,655.0
V000042,C00367,2026-02-05,3,0,20,0,2,85,0,9,4,5,1500.0,1540.0,3040.0,1786.8,0.5066,1520.0
V000043,C00674,2026-02-05,3,0,18,0,2,69,0,4,3,1,1120.0,260.0,1380.0,696.2,0.1884,690.0
V000044,C00400,2026-02-05,3,0,23,1,1,90,0,4,1,3,160.0,830.0,990.0,752.8,0.8384,990.0
V000045,C00757,2026-02-05,3,0,23,1,3,106,0,7,3,4,840.0,1140.0,1980.0,1263.8,0.5758,660.0
V000046,C00226,2026-02-05,3,0,20,0,2,68,1,7,4,3,1560.0,780.0,2340.0,1303.4,0.3333,1170.0
V000047,C00237,2026-02-05,3,0,21,1,1,53,1,4,2,2,640.0,690.0,1330.0,827.0,0.5188,1330.0
V000048,C00982,2026-02-05,3,0,21,1,2,112,0,8,3,5,900.0,1040.0,1940.0,1180.0,0.5361,970.0
V000049,C00549,2026-02-05,3,0,21,1,2,89,0,7,4,3,1220.0,720.0,1940.0,1178.4,0.3711,970.0
V000050,C00898,2026-02-06,4,1,19,0,3,35,0,7,5,2,1840.0,580.0,2420.0,1438.2,0.2397,806.7
V000051,C01143,2026-02-06,4,1,21,1,2,102,0,13,9,4,2580.0,1140.0,3720.0,2291.2,0.3065,1860.0
V000052,C00255,2026-02-06,4,1,18,0,2,36,1,7,5,2,1320.0,580.0,1900.0,1174.2,0.3053,950.0
V000053,C00271,2026-02-06,4,1,21,1,2,120,0,5,2,3,740.0,680.0,1420.0,831.2,0.4789,710.0
V000054,C01041,2026-02-06,4,1,22,1,2,121,0,4,2,2,540.0,520.0,1060.0,598.4,0.4906,530.0
V000055,C00741,2026-02-06,4,1,22,1,1,81,0,3,0,3,0.0,800.0,800.0,525.0,1.0,800.0
V000056,C00136,2026-02-06,4,1,22,1,2,39,1,6,3,3,1320.0,740.0,2060.0,1096.0,0.3592,1030.0
V000057,C00127,2026-02-06,4,1,24,1,3,74,1,13,7,6,1840.0,1810.0,3650.0,2290.6,0.4959,1216.7
V000058,C00782,2026-02-06,4,1,23,1,2,126,0,3,2,1,760.0,300.0,1060.0,622.0,0.283,530.0
V000059,C00641,2026-02-06,4,1,19,0,2,61,0,4,2,2,1260.0,600.0,1860.0,920.6,0.3226,930.0
V000060,C00939,2026-02-06,4,1,18,0,4,98,0,9,4,5,2040.0,1610.0,3650.0,1893.8,0.4411,912.5
V000061,C00381,2026-02-06,4,1,23,1,2,143,0,9,5,4,1900.0,1220.0,3120.0,1964.6,0.391,1560.0
V000062,C01085,2026-02-06,4,1,19,0,4,117,0,4,3,1,1820.0,280.0,2100.0,864.0,0.1333,525.0
V000063,C00433,2026-02-06,4,1,21,1,3,105,0,6,2,4,620.0,1300.0,1920.0,1202.0,0.6771,640.0
V000064,C01194,2026-02-06,4,1,19,0,3,90,0,9,7,2,2560.0,640.0,3200.0,1767.4,0.2,1066.7
V000065,C00770,2026-02-06,4,1,21,1,2,85,0,2,1,1,460.0,280.0,740.0,364.0,0.3784,370.0
V000066,C00512,2026-02-06,4,1,19,0,2,100,0,4,2,2,840.0,540.0,1380.0,692.4,0.3913,690.0
V000067,C01343,2026-02-06,4,1,24,1,1,69,0,1,1,0,380.0,0.0,380.0,167.2,0.0,380.0
V000068,C01174,2026-02-06,4,1,18,0,4,112,0,14,7,7,2920.0,2110.0,5030.0,2882.8,0.4195,1257.5
V000069,C01052,2026-02-06,4,1,20,0,2,49,0,4,4,0,1780.0,0.0,1780.0,795.0,0.0,890.0
V000070,C00263,2026-02-06,4,1,20,0,5,74,1,12,5,7,2120.0,2240.0,4360.0,2475.2,0.5138,872.0
V000071,C01094,2026-02-07,5,1,19,0,4,119,0,9,7,2,2200.0,520.0,2720.0,1548.6,0.1912,680.0
V000072,C01077,2026-02-07,5,1,20,0,2,91,0,5,4,1,940.0,300.0,1240.0,781.6,0.2419,620.0
V000073,C00161,2026-02-07,5,1,20,0,4,64,1,12,7,5,1940.0,1200.0,3140.0,1857.0,0.3822,785.0
V000074,C01031,2026-02-07,5,1,18,0,2,86,0,5,4,1,1640.0,300.0,1940.0,985.4,0.1546,970.0
V000075,C00608,2026-02-07,5,1,19,0,2,92,0,9,4,5,980.0,1580.0,2560.0,1653.4,0.6172,1280.0
V000076,C00387,2026-02-07,5,1,19,0,4,56,0,8,7,1,3320.0,280.0,3600.0,1634.6,0.0778,900.0
V000077,C00994,2026-02-07,5,1,23,1,2,64,0,6,4,2,1280.0,650.0,1930.0,1195.4,0.3368,965.0
V000078,C00543,2026-02-07,5,1,22,1,3,110,0,2,1,1,880.0,380.0,1260.0,593.0,0.3016,420.0
V000079,C00438,2026-02-07,5,1,22,1,1,85,0,3,0,3,0.0,1020.0,1020.0,724.0,1.0,1020.0
V000080,C00111,2026-02-07,5,1,19,0,4,98,1,8,5,3,2420.0,880.0,3300.0,1610.8,0.2667,825.0
V000081,C00701,2026-02-07,5,1,17,0,2,79,0,5,5,0,1600.0,0.0,1600.0,986.0,0.0,800.0
V000082,C01090,2026-02-07,5,1,22,1,4,76,0,17,8,9,2320.0,2620.0,4940.0,3044.6,0.5304,1235.0
V000083,C01224,2026-02-07,5,1,19,0,4,58,0,5,5,0,1860.0,0.0,1860.0,889.6,0.0,465.0
V000084,C00805,2026-02-07,5,1,19,0,4,106,0,9,4,5,1820.0,1490.0,3310.0,1727.8,0.4502,827.5
V000085,C00784,2026-02-07,5,1,20,0,3,115,0,6,5,1,1740.0,280.0,2020.0,994.4,0.1386,673.3
V000086,C00008,2026-02-07,5,1,18,0,2,127,1,9,7,2,2860.0,640.0,3500.0,1948.4,0.1829,1750.0
V000087,C00238,2026-02-07,5,1,19,0,3,68,1,8,5,3,2000.0,980.0,2980.0,1731.0,0.3289,993.3
V000088,C00752,2026-02-07,5,1,20,0,2,99,0,7,4,3,2020.0,880.0,2900.0,1564.8,0.3034,1450.0
V000089,C00790,2026-02-07,5,1,23,1,2,131,0,5,3,2,860.0,620.0,1480.0,927.6,0.4189,740.0
V000090,C01286,2026-02-07,5,1,18,0,3,100,0,7,5,2,2100.0,560.0,2660.0,1361.2,0.2105,886.7
V000091,C01339,2026-02-07,5,1,20,0,3,35,0,5,5,0,1840.0,0.0,1840.0,848.4,0.0,613.3
V000092,C01132,2026-02-07,5,1,19,0,3,104,0,9,6,3,2300.0,960.0,3260.0,1802.4,0.2945,1086.7
V000093,C00340,2026-02-07,5,1,18,0,3,84,0,7,5,2,1780.0,610.0,2390.0,1425.8,0.2552,796.7
V000094,C01052,2026-02-07,5,1,21,1,6,96,0,14,5,9,2100.0,2680.0,4780.0,2773.0,0.5607,796.7
V000095,C00018,2026-02-08,6,0,23,1,4,135,1,16,5,11,1520.0,3010.0,4530.0,2802.6,0.6645,1132.5
V000096,C01084,2026-02-08,6,0,19,0,2,60,0,6,5,1,2060.0,260.0,2320.0,1186.0,0.1121,1160.0
V000097,C00560,2026-02-08,6,0,18,0,2,98,0,7,5,2,1680.0,620.0,2300.0,1388.8,0.2696,1150.0
V000098,C00026,2026-02-08,6,0,20,0,2,57,1,4,2,2,900.0,760.0,1660.0,934.8,0.4578,830.0
V000099,C00315,2026-02-08,6,0,20,0,3,95,0,6,3,3,1360.0,860.0,2220.0,1152.6,0.3874,740.0
V000100,C01335,2026-02-08,6,0,18,0,2,90,0,6,4,2,1380.0,620.0,2000.0,1228.6,0.31,1000.0
V000101,C00054,2026-02-08,6,0,21,1,2,74,1,6,3,3,980.0,900.0,1880.0,1139.0,0.4787,940.0
V000102,C00433,2026-02-08,6,0,18,0,4,87,0,8,6,2,2180.0,520.0,2700.0,1455.4,0.1926,675.0
V000103,C00565,2026-02-08,6,0,17,0,2,44,0,6,3,3,880.0,930.0,1810.0,1172.8,0.5138,905.0
V000104,C01041,2026-02-08,6,0,22,1,3,132,0,11,5,6,1280.0,1650.0,2930.0,1829.0,0.5631,976.7
V000105,C00101,2026-02-08,6,0,19,0,2,56,1,7,3,4,840.0,1160.0,2000.0,1247.8,0.58,1000.0
V000106,C00090,2026-02-08,6,0,18,0,3,70,1,7,3,4,1460.0,1220.0,2680.0,1385.2,0.4552,893.3
V000107,C00157,2026-02-10,1,0,20,0,5,143,1,16,9,7,3200.0,2020.0,5220.0,2860.2,0.387,1044.0
V000108,C00552,2026-02-10,1,0,21,1,2,78,0,8,4,4,1340.0,1330.0,2670.0,1719.2,0.4981,1335.0
V000109,C00836,2026-02-10,1,0,21,1,3,113,0,9,4,5,1160.0,1320.0,2480.0,1478.4,0.5323,826.7
V000110,C01337,2026-02-10,1,0,22,1,1,87,0,4,2,2,380.0,640.0,1020.0,746.6,0.6275,1020.0
V000111,C00103,2026-02-10,1,0,19,0,2,98,1,7,5,2,2040.0,480.0,2520.0,1345.0,0.1905,1260.0
V000112,C00896,2026-02-10,1,0,20,0,4,107,0,10,7,3,2220.0,800.0,3020.0,1653.4,0.2649,755.0
V000113,C00300,2026-02-10,1,0,21,1,2,87,0,7,3,4,980.0,1310.0,2290.0,1499.6,0.5721,1145.0
V000114,C00890,2026-02-10,1,0,19,0,2,35,0,6,5,1,1780.0,300.0,2080.0,1123.2,0.1442,1040.0
V000115,C00019,2026-02-10,1,0,21,1,4,68,1,15,5,10,1840.0,2740.0,4580.0,2694.4,0.5983,1145.0
V000116,C01017,2026-02-10,1,0,21,1,4,114,0,13,7,6,2660.0,1700.0,4360.0,2476.6,0.3899,1090.0
V000117,C00839,2026-02-10,1,0,23,1,2,76,0,6,5,1,1500.0,280.0,1780.0,1069.8,0.1573,890.0
V000118,C01334,2026-02-10,1,0,19,0,2,63,0,3,3,0,960.0,0.0,960.0,505.6,0.0,480.0
V000119,C00260,2026-02-10,1,0,21,1,6,151,1,22,8,14,2560.0,3920.0,6480.0,3951.6,0.6049,1080.0
V000120,C00939,2026-02-11,2,0,21,1,1,136,0,3,2,1,860.0,280.0,1140.0,595.6,0.2456,1140.0
V000121,C00839,2026-02-11,2,0,20,0,6,103,0,14,11,3,3780.0,820.0,4600.0,2401.6,0.1783,766.7
V000122,C00552,2026-02-11,2,0,22,1,3,125,0,4,3,1,1040.0,240.0,1280.0,747.0,0.1875,426.7
V000123,C00631,2026-02-11,2,0,18,0,2,92,0,6,3,3,1180.0,820.0,2000.0,1126.4,0.41,1000.0
V000124,C00325,2026-02-11,2,0,18,0,3,43,0,9,6,3,2800.0,980.0,3780.0,1986.2,0.2593,1260.0
V000125,C00158,2026-02-11,2,0,19,0,2,137,1,13,6,7,2420.0,2030.0,4450.0,2481.6,0.4562,2225.0
V000126,C00880,2026-02-11,2,0,19,0,4,97,0,9,5,4,2840.0,1100.0,3940.0,1877.8,0.2792,985.0
V000127,C00658,2026-02-11,2,0,18,0,3,84,0,7,5,2,1700.0,480.0,2180.0,1203.2,0.2202,726.7
V000128,C00293,2026-02-11,2,0,21,1,2,74,0,3,2,1,1100.0,380.0,1480.0,747.0,0.2568,740.0
V000129,C00706,2026-02-11,2,0,23,1,2,99,0,7,5,2,1340.0,680.0,2020.0,1258.0,0.3366,1010.0
V000130,C00015,2026-02-11,2,0,19,0,2,90,1,6,3,3,1100.0,980.0,2080.0,1205.4,0.4712,1040.0
V000131,C01051,2026-02-12,3,0,18,0,5,101,0,13,9,4,3160.0,1200.0,4360.0,2470.2,0.2752,872.0
V000132,C00416,2026-02-12,3,0,18,0,2,82,0,8,5,3,1480.0,770.0,2250.0,1465.2,0.3422,1125.0
V000133,C00172,2026-02-12,3,0,18,0,3,67,1,5,5,0,1920.0,0.0,1920.0,872.4,0.0,640.0
V000134,C00545,2026-02-12,3,0,17,0,3,91,0,8,5,3,2180.0,920.0,3100.0,1611.8,0.2968,1033.3
V000135,C01008,2026-02-12,3,0,21,1,3,99,0,11,5,6,1640.0,1580.0,3220.0,1907.0,0.4907,1073.3
V000136,C00382,2026-02-12,3,0,20,0,2,100,0,2,2,0,1340.0,0.0,1340.0,501.2,0.0,670.0
V000137,C00038,2026-02-12,3,0,19,0,2,61,1,4,3,1,1580.0,350.0,1930.0,888.6,0.1813,965.0
V000138,C00059,2026-02-12,3,0,17,0,5,84,1,13,7,6,3040.0,1840.0,4880.0,2866.8,0.377,976.0
V000139,C00065,2026-02-13,4,1,17,0,4,140,1,11,3,8,1280.0,2520.0,3800.0,2253.8,0.6632,950.0
V000140,C00258,2026-02-13,4,1,23,1,2,113,1,8,4,4,1120.0,1170.0,2290.0,1517.0,0.5109,1145.0
V000141,C00702,2026-02-13,4,1,21,1,2,129,0,8,6,2,1480.0,480.0,1960.0,1308.8,0.2449,980.0
V000142,C01157,2026-02-13,4,1,19,0,3,96,0,5,4,1,1440.0,260.0,1700.0,930.0,0.1529,566.7
V000143,C00159,2026-02-13,4,1,18,0,2,78,1,8,5,3,1900.0,900.0,2800.0,1545.2,0.3214,1400.0
V000144,C00100,2026-02-13,4,1,21,1,2,107,1,13,5,8,1220.0,2430.0,3650.0,2335.8,0.6658,1825.0
V000145,C01257,2026-02-13,4,1,19,0,5,173,0,15,5,10,2300.0,2890.0,5190.0,3034.6,0.5568,1038.0
V000146,C00583,2026-02-13,4,1,24,1,2,78,0,6,3,3,1060.0,900.0,1960.0,1257.8,0.4592,980.0
V000147,C00564,2026-02-13,4,1,18,0,2,101,0,5,3,2,760.0,640.0,1400.0,861.6,0.4571,700.0
V000149,C00429,2026-02-13,4,1,22,1,2,59,0,2,1,1,460.0,260.0,720.0,354.4,0.3611,360.0
V000150,C00628,2026-02-13,4,1,18,0,1,54,0,3,2,1,660.0,320.0,980.0,513.6,0.3265,980.0
V000151,C00352,2026-02-13,4,1,21,1,6,126,0,14,7,7,2120.0,2150.0,4270.0,2628.2,0.5035,711.7
V000152,C00153,2026-02-13,4,1,20,0,3,103,1,13,9,4,2880.0,1220.0,4100.0,2343.8,0.2976,1366.7
V000153,C00773,2026-02-13,4,1,21,1,2,107,0,4,3,1,1180.0,260.0,1440.0,801.8,0.1806,720.0
V000154,C00577,2026-02-13,4,1,19,0,2,86,0,7,3,4,1660.0,1240.0,2900.0,1536.6,0.4276,1450.0
V000155,C00152,2026-02-13,4,1,18,0,2,52,1,3,3,0,860.0,0.0,860.0,464.2,0.0,430.0
V000156,C01297,2026-02-13,4,1,24,1,2,94,0,6,5,1,1400.0,300.0,1700.0,1045.0,0.1765,850.0
V000157,C00770,2026-02-13,4,1,21,1,2,73,0,4,4,0,1540.0,0.0,1540.0,750.0,0.0,770.0
V000158,C00787,2026-02-13,4,1,23,1,2,98,0,3,2,1,700.0,280.0,980.0,485.4,0.2857,490.0
V000159,C00252,2026-02-13,4,1,21,1,3,130,1,12,2,10,800.0,3100.0,3900.0,2544.4,0.7949,1300.0
V000160,C00141,2026-02-13,4,1,21,1,4,117,1,12,4,8,1260.0,2140.0,3400.0,2149.8,0.6294,850.0
V000161,C00077,2026-02-13,4,1,23,1,4,134,1,11,6,5,1920.0,1240.0,3160.0,1830.8,0.3924,790.0
V000162,C00816,2026-02-13,4,1,18,0,3,90,0,7,3,4,1080.0,1040.0,2120.0,1146.0,0.4906,706.7
V000163,C01157,2026-02-14,5,1,21,1,6,127,0,17,3,14,1260.0,4100.0,5360.0,3111.4,0.7649,893.3
V000164,C00939,2026-02-14,5,1,19,0,2,35,0,5,3,2,940.0,680.0,1620.0,1052.6,0.4198,810.0
V000165,C00878,2026-02-14,5,1,21,1,4,112,0,10,3,7,980.0,2100.0,3080.0,1988.0,0.6818,770.0
V000166,C01186,2026-02-14,5,1,24,1,4,124,0,9,5,4,1740.0,1280.0,3020.0,1762.0,0.4238,755.0
V000167,C01061,2026-02-14,5,1,21,1,2,75,0,6,2,4,800.0,1270.0,2070.0,1350.0,0.6135,1035.0
V000168,C01269,2026-02-14,5,1,21,1,2,129,0,7,4,3,1280.0,860.0,2140.0,1372.0,0.4019,1070.0
V000169,C01074,2026-02-14,5,1,18,0,4,115,0,14,8,6,2900.0,1620.0,4520.0,2567.8,0.3584,1130.0
V000170,C00890,2026-02-14,5,1,19,0,3,86,0,6,3,3,980.0,660.0,1640.0,1007.8,0.4024,546.7
V000171,C00474,2026-02-14,5,1,18,0,6,102,0,10,7,3,2720.0,920.0,3640.0,1959.8,0.2527,606.7
V000172,C01212,2026-02-14,5,1,19,0,2,100,0,6,4,2,980.0,760.0,1740.0,1096.6,0.4368,870.0
V000173,C00102,2026-02-14,5,1,21,1,2,73,1,6,4,2,1240.0,540.0,1780.0,1071.2,0.3034,890.0
V000174,C00064,2026-02-14,5,1,24,1,2,101,1,9,5,4,1500.0,1080.0,2580.0,1618.2,0.4186,1290.0
V000175,C01239,2026-02-14,5,1,22,1,4,123,0,19,8,11,2140.0,3060.0,5200.0,3275.8,0.5885,1300.0
V000176,C00784,2026-02-14,5,1,19,0,5,125,0,16,4,12,1660.0,3610.0,5270.0,3216.4,0.685,1054.0
V000177,C00718,2026-02-14,5,1,19,0,1,46,0,2,2,0,1040.0,0.0,1040.0,415.2,0.0,1040.0
V000178,C00237,2026-02-14,5,1,23,1,3,134,1,10,4,6,1020.0,1850.0,2870.0,1921.8,0.6446,956.7
V000179,C00118,2026-02-14,5,1,21,1,1,72,1,6,5,1,1480.0,300.0,1780.0,1149.8,0.1685,1780.0
V000180,C00426,2026-02-14,5,1,20,0,3,113,0,7,2,5,1260.0,1560.0,2820.0,1536.4,0.5532,940.0
V000181,C00220,2026-02-14,5,1,20,0,1,113,1,5,5,0,1760.0,0.0,1760.0,920.8,0.0,1760.0
V000182,C01176,2026-02-14,5,1,18,0,3,83,0,9,5,4,1980.0,1260.0,3240.0,1749.2,0.3889,1080.0
V000183,C00688,2026-02-15,6,0,20,0,2,71,0,5,3,2,960.0,520.0,1480.0,872.2,0.3514,740.0
V000184,C00345,2026-02-15,6,0,21,1,2,107,0,7,4,3,1100.0,860.0,1960.0,1168.8,0.4388,980.0
V000185,C00012,2026-02-15,6,0,24,1,4,91,1,9,5,4,1560.0,1260.0,2820.0,1749.4,0.4468,705.0
V000186,C00185,2026-02-15,6,0,18,0,2,58,1,3,2,1,1360.0,320.0,1680.0,692.0,0.1905,840.0
V000187,C01221,2026-02-15,6,0,19,0,2,42,0,1,1,0,460.0,0.0,460.0,193.2,0.0,230.0
V000188,C00412,2026-02-15,6,0,17,0,2,141,0,5,4,1,1480.0,260.0,1740.0,910.2,0.1494,870.0
V000189,C00114,2026-02-15,6,0,19,0,2,86,1,5,4,1,1320.0,300.0,1620.0,836.8,0.1852,810.0
V000190,C00919,2026-02-15,6,0,22,1,4,132,0,14,6,8,2460.0,2300.0,4760.0,2866.0,0.4832,1190.0
V000191,C01134,2026-02-15,6,0,24,1,3,94,0,6,5,1,1780.0,300.0,2080.0,1112.0,0.1442,693.3
V000192,C00631,2026-02-15,6,0,21,1,2,83,0,6,4,2,1240.0,700.0,1940.0,1232.0,0.3608,970.0
V000193,C00619,2026-02-15,6,0,21,1,3,148,0,14,5,9,1380.0,2620.0,4000.0,2588.4,0.655,1333.3
V000194,C00355,2026-02-15,6,0,20,0,2,74,0,5,5,0,1860.0,0.0,1860.0,1030.4,0.0,930.0
V000195,C00132,2026-02-15,6,0,21,1,2,109,1,6,3,3,980.0,820.0,1800.0,1125.4,0.4556,900.0
V000196,C00290,2026-02-15,6,0,20,0,3,125,0,11,6,5,1700.0,1300.0,3000.0,1828.8,0.4333,1000.0
V000197,C00075,2026-02-17,1,0,18,0,5,90,1,12,8,4,2480.0,1240.0,3720.0,2231.4,0.3333,744.0
V000198,C01040,2026-02-17,1,0,19,0,2,72,0,4,4,0,1200.0,0.0,1200.0,719.6,0.0,600.0
V000199,C00342,2026-02-17,1,0,20,0,4,94,0,9,7,2,2380.0,640.0,3020.0,1666.2,0.2119,755.0
V000200,C00302,2026-02-17,1,0,20,0,6,135,0,16,11,5,4380.0,1500.0,5880.0,3043.8,0.2551,980.0
V000201,C00205,2026-02-17,1,0,21,1,2,114,1,7,3,4,980.0,1220.0,2200.0,1402.6,0.5545,1100.0
V000202,C00749,2026-02-17,1,0,22,1,2,96,0,11,6,5,1620.0,1520.0,3140.0,2047.2,0.4841,1570.0
V000203,C00145,2026-02-17,1,0,18,0,2,48,1,9,7,2,1900.0,540.0,2440.0,1442.8,0.2213,1220.0
V000204,C00915,2026-02-17,1,0,21,1,3,140,0,8,4,4,1100.0,1240.0,2340.0,1465.2,0.5299,780.0
V000205,C00127,2026-02-17,1,0,22,1,4,109,1,11,5,6,2220.0,1970.0,4190.0,2486.6,0.4702,1047.5
V000206,C00200,2026-02-18,2,0,19,0,4,109,1,7,4,3,1600.0,980.0,2580.0,1434.8,0.3798,645.0
V000207,C00100,2026-02-18,2,0,21,1,3,150,1,8,2,6,640.0,1760.0,2400.0,1498.6,0.7333,800.0
V000208,C00497,2026-02-18,2,0,22,1,2,90,0,4,2,2,620.0,460.0,1080.0,616.8,0.4259,540.0
V000209,C00805,2026-02-18,2,0,21,1,3,157,0,11,5,6,1800.0,1700.0,3500.0,2186.4,0.4857,1166.7
V000210,C00124,2026-02-18,2,0,18,0,2,60,1,5,4,1,1400.0,280.0,1680.0,881.6,0.1667,840.0
V000211,C01094,2026-02-18,2,0,19,0,2,86,0,8,6,2,1680.0,620.0,2300.0,1402.8,0.2696,1150.0
V000212,C01008,2026-02-18,2,0,19,0,1,56,0,3,3,0,1480.0,0.0,1480.0,709.2,0.0,1480.0
V000213,C00041,2026-02-18,2,0,21,1,1,125,1,3,2,1,560.0,180.0,740.0,440.8,0.2432,740.0
V000214,C00171,2026-02-18,2,0,18,0,3,87,1,6,4,2,1740.0,540.0,2280.0,1129.4,0.2368,760.0
V000215,C01123,2026-02-18,2,0,22,1,4,132,0,18,8,10,2780.0,2970.0,5750.0,3474.8,0.5165,1437.5
V000216,C00785,2026-02-18,2,0,18,0,3,109,0,7,5,2,1420.0,600.0,2020.0,1085.8,0.297,673.3
V000217,C00477,2026-02-19,3,0,17,0,2,49,0,6,5,1,1460.0,340.0,1800.0,1097.2,0.1889,900.0
V000218,C00042,2026-02-19,3,0,21,1,5,179,1,15,7,8,2500.0,2490.0,4990.0,2923.8,0.499,998.0
V000219,C01195,2026-02-19,3,0,22,1,2,36,0,5,3,2,1020.0,760.0,1780.0,1100.8,0.427,890.0
V000220,C00590,2026-02-19,3,0,18,0,2,70,0,6,6,0,2340.0,0.0,2340.0,1181.0,0.0,1170.0
