antecedent,antecedent_id,consequent,consequent_id,support,confidence,lift,unit_profit,expected_profit
白酒蛤蜊義大利麵,M05,卡本內蘇維翁(杯),W02,0.0568,0.2201,0.865,192.0,42.3
香煎鮭魚佐檸檬,M06,Gin & Tonic,W08,0.0469,0.1809,1.057,234.0,42.3
炭烤戰斧牛排,M03,Gin & Tonic,W08,0.0475,0.1795,1.049,234.0,42.0
三種起司拼盤,S04,Gin & Tonic,W08,0.0502,0.1784,1.043,234.0,41.8
紹興油泡蝦,S01,Gin & Tonic,W08,0.0524,0.1779,1.04,234.0,41.6
紹興油泡蝦,S01,馬爾貝克紅酒(杯),W01,0.0701,0.2378,0.964,173.6,41.3
白酒蛤蜊義大利麵,M05,馬爾貝克紅酒(杯),W01,0.0613,0.2372,0.961,173.6,41.2
紹興油泡蝦,S01,威士忌 Highball,W11,0.0541,0.1835,0.892,222.0,40.7
香煎鮭魚佐檸檬,M06,威士忌 Highball,W11,0.0469,0.1809,0.879,222.0,40.1
爐烤伊比利豬肩,M02,Gin & Tonic,W08,0.0425,0.1638,0.958,234.0,38.3
炭烤戰斧牛排,M03,氣泡酒(杯),W05,0.053,0.2004,1.131,189.0,37.9
松露薯條,S05,馬爾貝克紅酒(杯),W01,0.0629,0.2143,0.869,173.6,37.2
伊比利火腿盤,S03,氣泡酒(杯),W05,0.0546,0.1941,1.096,189.0,36.7
伊比利火腿盤,S03,Gin & Tonic,W08,0.0442,0.1569,0.917,234.0,36.7
松露薯條,S05,精釀 IPA,W09,0.0712,0.2425,1.422,150.8,36.6
香煎鮭魚佐檸檬,M06,氣泡酒(杯),W05,0.0502,0.1936,1.093,189.0,36.6
舒肥紅酒燉牛肉,M01,氣泡酒(杯),W05,0.0486,0.1897,1.071,189.0,35.8
西班牙蒜辣蝦,S02,氣泡酒(杯),W05,0.0513,0.1886,1.065,189.0,35.7
松露野菌燉飯,M04,氣泡酒(杯),W05,0.0475,0.1882,1.062,189.0,35.6
炙燒櫛瓜佐油醋,S07,氣泡酒(杯),W05,0.0563,0.1875,1.058,189.0,35.4
松露薯條,S05,小麥白啤酒,W10,0.0751,0.2556,1.494,136.8,35.0
酥炸花枝圈,S06,精釀 IPA,W09,0.0624,0.2274,1.333,150.8,34.3
爐烤伊比利豬肩,M02,氣泡酒(杯),W05,0.0469,0.1809,1.021,189.0,34.2
白酒蛤蜊義大利麵,M05,氣泡酒(杯),W05,0.0458,0.1774,1.001,189.0,33.5
三種起司拼盤,S04,氣泡酒(杯),W05,0.0491,0.1745,0.985,189.0,33.0
香煎鮭魚佐檸檬,M06,馬爾貝克紅酒(杯),W01,0.0486,0.1872,0.759,173.6,32.5
紹興油泡蝦,S01,氣泡酒(杯),W05,0.0502,0.1704,0.962,189.0,32.2
酥炸花枝圈,S06,小麥白啤酒,W10,0.0624,0.2274,1.329,136.8,31.1
松露野菌燉飯,M04,精釀 IPA,W09,0.0519,0.2057,1.206,150.8,31.0
紹興油泡蝦,S01,精釀 IPA,W09,0.0596,0.2022,1.186,150.8,30.5
炭烤戰斧牛排,M03,精釀 IPA,W09,0.053,0.2004,1.175,150.8,30.2
白酒蛤蜊義大利麵,M05,小麥白啤酒,W10,0.0568,0.2201,1.286,136.8,30.1
松露野菌燉飯,M04,無酒精莫吉托,W13,0.0524,0.2079,1.219,144.0,29.9
爐烤伊比利豬肩,M02,精釀 IPA,W09,0.0513,0.1979,1.16,150.8,29.8
酥炸花枝圈,S06,無酒精莫吉托,W13,0.0563,0.2052,1.203,144.0,29.6
三種起司拼盤,S04,精釀 IPA,W09,0.0546,0.1941,1.138,150.8,29.3
白酒蛤蜊義大利麵,M05,精釀 IPA,W09,0.0497,0.1923,1.128,150.8,29.0
炙燒櫛瓜佐油醋,S07,無酒精莫吉托,W13,0.0591,0.1967,1.153,144.0,28.3
松露薯條,S05,無酒精莫吉托,W13,0.0574,0.1955,1.146,144.0,28.2
伊比利火腿盤,S03,精釀 IPA,W09,0.0513,0.1824,1.069,150.8,27.5
炙燒櫛瓜佐油醋,S07,精釀 IPA,W09,0.0546,0.182,1.067,150.8,27.4
白酒蛤蜊義大利麵,M05,無酒精莫吉托,W13,0.0491,0.1902,1.115,144.0,27.4
西班牙蒜辣蝦,S02,小麥白啤酒,W10,0.0541,0.1988,1.162,136.8,27.2
香煎鮭魚佐檸檬,M06,小麥白啤酒,W10,0.0508,0.1957,1.144,136.8,26.8
炭烤戰斧牛排,M03,無酒精莫吉托,W13,0.0486,0.1837,1.077,144.0,26.5
西班牙蒜辣蝦,S02,無酒精莫吉托,W13,0.0497,0.1826,1.071,144.0,26.3
香煎鮭魚佐檸檬,M06,無酒精莫吉托,W13,0.0469,0.1809,1.061,144.0,26.0
紹興油泡蝦,S01,小麥白啤酒,W10,0.0557,0.1891,1.106,136.8,25.9
舒肥紅酒燉牛肉,M01,無酒精莫吉托,W13,0.0458,0.1789,1.049,144.0,25.8
炭烤戰斧牛排,M03,小麥白啤酒,W10,0.0491,0.1858,1.086,136.8,25.4
爐烤伊比利豬肩,M02,無酒精莫吉托,W13,0.0458,0.1766,1.036,144.0,25.4
西班牙蒜辣蝦,S02,精釀 IPA,W09,0.0458,0.1684,0.987,150.8,25.4
松露野菌燉飯,M04,小麥白啤酒,W10,0.0464,0.1838,1.074,136.8,25.1
紹興油泡蝦,S01,無酒精莫吉托,W13,0.0513,0.1742,1.021,144.0,25.1
香煎鮭魚佐檸檬,M06,精釀 IPA,W09,0.043,0.166,0.973,150.8,25.0
三種起司拼盤,S04,無酒精莫吉托,W13,0.0486,0.1725,1.012,144.0,24.8
三種起司拼盤,S04,小麥白啤酒,W10,0.0491,0.1745,1.02,136.8,23.9
炙燒櫛瓜佐油醋,S07,小麥白啤酒,W10,0.0524,0.1746,1.021,136.8,23.9
爐烤伊比利豬肩,M02,小麥白啤酒,W10,0.0447,0.1723,1.007,136.8,23.6
伊比利火腿盤,S03,無酒精莫吉托,W13,0.0447,0.1588,0.931,144.0,22.9
舒肥紅酒燉牛肉,M01,小麥白啤酒,W10,0.0408,0.1595,0.932,136.8,21.8
舒肥紅酒燉牛肉,M01,精釀 IPA,W09,0.0359,0.1401,0.821,150.8,21.1
伊比利火腿盤,S03,小麥白啤酒,W10,0.0425,0.151,0.883,136.8,20.7
